"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","nuclear pore","0.96%","9","895","100","20808","6.60e-2","3.84e-1","2.09","1.00e+0","3.35e-1","2.83e-2"
"GOTERM_CC_DIRECT","bleb","0.32%","3","895","10","20808","6.60e-2","3.84e-1","6.97","1.00e+0","3.35e-1","7.58e-3"
"GOTERM_CC_DIRECT","apicolateral plasma membrane","0.43%","4","895","23","20808","7.39e-2","4.27e-1","4.04","1.00e+0","3.72e-1","1.57e-2"
"GOTERM_CC_DIRECT","azurophil granule","0.32%","3","895","11","20808","7.84e-2","4.27e-1","6.34","1.00e+0","3.73e-1","1.01e-2"
"GOTERM_CC_DIRECT","microtubule plus-end","0.43%","4","895","24","20808","8.19e-2","4.27e-1","3.87","1.00e+0","3.73e-1","1.82e-2"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","6.84%","64","895","1228","20808","8.19e-2","4.27e-1","1.21","1.00e+0","3.73e-1","6.34e-2"
"GOTERM_CC_DIRECT","neuron projection","2.46%","23","895","372","20808","8.21e-2","4.27e-1","1.44","1.00e+0","3.73e-1","5.28e-2"
"GOTERM_CC_DIRECT","collagen type I trimer","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alpha11-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","glutamate-cysteine ligase complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alpha5-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","beta-N-acetylhexosaminidase complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alphav-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
"GOTERM_CC_DIRECT","integrin alpha1-beta1 complex","0.21%","2","895","2","20808","8.41e-2","4.27e-1","23.25","1.00e+0","3.73e-1","1.85e-3"
