"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AAMP" 4497.28965426179 0.107145932256397 0.0693342415230574 1.54535378050923 0.122260713492519 0.558513767784815
"AANAT" 2.43023115328351 -0.53108518669365 2.03739011673846 -0.260669364364952 0.794347493154719 NA
"AAR2" 2468.6996166039 0.106391924279034 0.0782420693005377 1.35977901952425 0.173899863581585 0.658892051064461
"AARD" 2.4869177397677 -1.08221200648884 2.02712870212828 -0.533864478043561 0.593435299898114 NA
"AARS1" 8051.00372370039 0.00439249688563572 0.0560551833621999 0.0783602268723956 0.937541510567375 0.995544892111965
"AARS2" 1936.33108382045 -0.0240171373804615 0.0870497131378835 -0.275901396049626 0.78262380162496 0.989757272472907
"AARSD1" 1807.18922777036 0.0698852854591163 0.0878412454666837 0.795586231591198 0.426272571874495 0.89618257411624
"AASDH" 336.596285890201 -0.339760390272333 0.197857062886933 -1.7172012225133 0.0859424122675133 0.464685547885835
"AASDHPPT" 1251.89701068629 -0.182494366093978 0.12380254864385 -1.47407600322486 0.140461128738694 0.596600312426902
"AASS" 631.695790653436 -0.256596387537695 0.142905138738011 -1.79557145252919 0.0725626994661399 0.423395192996757
"AATBC" 12.5507462589564 -0.661208561519258 0.980952827212476 -0.67404725607263 0.50028127049438 0.924064715294663
"AATF" 2535.04876041297 0.142488416684989 0.0783737190981766 1.81806373774986 0.0690543915655196 0.411239762840405
"AATF_1" 2535.04876041297 0.142488416684989 0.0783737190981766 1.81806373774986 0.0690543915655196 0.411239762840405
"AATK" 4.23316374569466 0.267101568856766 1.59173088678786 0.167805733415013 0.866736111849995 NA
"ABALON" 251.106122918005 0.00351410061123464 0.215367422516356 0.0163167695939147 0.986981679121118 0.997431192960773
"ABAT" 4.50620246253931 1.09044935262426 1.61610689541407 0.674738382540512 0.499841994182241 NA
"ABCA1" 40.2122645646485 1.02581526581059 0.593786738903747 1.72758197278783 0.0840631971000973 0.459150948480854
"ABCA10" 19.9927510037937 0.60810352822949 0.869831919163132 0.699104637151679 0.484486640778611 0.918654982284926
"ABCA11P" 213.470351718832 -0.281548867294807 0.285741143973069 -0.985328410812772 0.324462781656193 0.843464890896435
"ABCA12" 20.1165183923384 -0.0168232287503299 0.783722028101732 -0.0214658107684912 0.982874076229609 0.997431192960773
"ABCA13" 11.0957599967266 -0.111285735363841 1.02051451480523 -0.109048655114014 0.913163899207386 0.995544892111965
"ABCA15P" 8.83955920176384 6.64273166605558 4.79113458075975 1.38646317570195 0.165605517153984 0.643340636617296
"ABCA15P_1" 20.9185941070632 -0.430410950302895 2.56476045903499 -0.167817212241661 0.866727081126554 0.994855154923364
"ABCA17P" 11.0889031332272 0.0133429596388644 1.00193369455199 0.0133172082258703 0.98937471922662 0.99784904830229
"ABCA2" 6013.39741772087 0.0211109356937718 0.0632519028179056 0.333759693436379 0.738560900935776 0.980511014520259
"ABCA3" 5172.69035114876 0.0231224768071132 0.0685612675882773 0.337252761223258 0.735926366836275 0.980059298388971
"ABCA4" 102.638010947558 0.293911770537683 0.334347981289095 0.879059503827395 0.37936901343155 0.874481561923888
"ABCA5" 482.269019914032 0.59341812445817 0.16190477227727 3.66522935742692 0.000247117018702607 0.00605076512587537
"ABCA7" 1306.62470796243 -0.2149971346577 0.112110452415058 -1.91772604628988 0.0551457572894725 0.365726359449131
"ABCA8" 185.929837148894 -0.180961896355607 0.2468932414118 -0.732956055503261 0.463585232229464 0.909700670537431
"ABCA9" 1.18387897592289 0.563608408073546 3.60311802175617 0.156422410998028 0.875700073182279 NA
"ABCB1" 164.370331773637 -0.0389842201000946 0.282163035720719 -0.138162038129901 0.890112356492806 0.995544892111965
